symbol,tf_minutes,side,final_score,ml_score,heur_score,entry_price,sl_pct,tp1_pct,tp2_pct,tp3_pct,risk_reward,risk_reward_tp2,predictors_score,raw_signals_score,indicators_score,market_score,coverage_score,consensus_score,price10_score,bounce_prob,bounce_score,breakout_prob,breakout_score,trend_strength,momentum_strength,volatility_regime,volume_spike_score,level_aware,market_quality_score,quality_multiplier,quality_grade,original_score,pred_vs_raw,pred_vs_ind,component_std,component_min,ml_heur_gap,score_per_risk,atr_pct,market_factor,score_factor,label_win,label_tp_level,label_pnl_pct,label_max_favorable,label_max_adverse,label_bars
TAOUSDT,1,-1,0.5711,1.0000,1.0000,184.470001,0.002085,0.003000,0.006000,0.010000,1.4391,2.8782,0.5278,0.8404,0.6637,0.6500,1.0000,0.6931,1.0000,0.8000,0.3175,0.5000,0.1825,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.9556,C,0.5976,0.6280,0.7952,0.111462,0.5278,0.0000,273.94,0.000000,1.0000,0.8189,0.0,-1.0,-0.002085,0.000000,0.003253,2
ZROUSDT,1,-1,0.6648,1.0000,1.0000,1.822000,0.003371,0.013063,0.015063,0.017063,3.8747,4.4680,0.5634,0.6547,0.5980,0.6500,1.0000,0.9726,1.0000,0.8000,0.5446,0.3000,0.0686,0.0000,0.0000,0.0000,0.0000,1,0.0000,1.0977,C,0.6056,0.8606,0.9421,0.037885,0.5634,0.0000,197.21,0.000000,1.0000,0.8225,0.0,-1.0,-0.003371,0.000714,0.004446,3
BTCUSDT,1,-1,0.5805,1.0000,1.0000,68977.601562,0.002000,0.003000,0.006000,0.010000,1.5000,3.0001,0.5647,0.8387,0.4418,0.5000,1.0000,0.9802,1.0000,0.8000,0.5511,0.3000,0.0662,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.9533,C,0.6089,0.6733,1.2783,0.152073,0.4418,0.0000,290.26,0.000000,1.0000,0.8240,1.0,1.0,0.003000,0.010763,0.001055,46
LITUSDT,1,-1,0.6787,1.0000,1.0000,1.602000,0.002849,0.006866,0.008866,0.010000,2.4100,3.1120,0.5647,0.8482,0.5322,0.6500,1.0000,0.9802,1.0000,0.8000,0.5511,0.3000,0.0662,0.0000,0.0000,0.0000,0.0000,1,0.0000,1.0407,C,0.6521,0.6658,1.0612,0.122911,0.5322,0.0000,238.21,0.000000,1.0000,0.8434,1.0,1.0,0.006866,0.009363,0.001873,18
RIVERUSDT,1,-1,0.6844,1.0000,1.0000,13.118000,0.005659,0.012121,0.014121,0.016121,2.1417,2.4951,0.5647,0.8490,0.5665,0.6500,1.0000,0.9802,1.0000,0.8000,0.5511,0.3000,0.0662,0.0000,0.0000,0.0000,0.0000,1,0.0000,1.0383,C,0.6592,0.6652,0.9969,0.115774,0.5647,0.0000,120.94,0.000000,1.0000,0.8466,0.0,-1.0,-0.005659,0.001601,0.006022,2
PENGUUSDT,1,-1,0.5968,1.0000,1.0000,0.007192,0.002000,0.004366,0.006000,0.010000,2.1830,3.0000,0.5278,0.8459,0.6317,0.6500,1.0000,0.6931,1.0000,0.5000,0.1825,0.8000,0.3175,0.0000,0.0000,0.0000,0.0000,1,0.0000,1.0057,C,0.5934,0.6239,0.8355,0.115000,0.5278,0.0000,298.39,0.000000,1.0000,0.8170,0.0,-1.0,-0.002000,0.000417,0.002364,3
UNIUSDT,1,-1,0.5808,1.0000,1.0000,3.493000,0.002006,0.003000,0.006000,0.010000,1.4955,2.9909,0.5634,0.6841,0.5735,0.5000,1.0000,0.9726,1.0000,0.8000,0.5446,0.3000,0.0686,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.9891,C,0.5872,0.8236,0.9824,0.066236,0.5000,0.0000,289.52,0.000000,1.0000,0.8142,0.0,-1.0,-0.002006,0.000573,0.002290,6
XRPUSDT,1,-1,0.5578,1.0000,1.0000,1.522000,0.002000,0.004599,0.006000,0.010000,2.2996,3.0000,0.5278,0.8558,0.5679,0.5000,1.0000,0.7126,1.0000,0.8000,0.3308,0.5000,0.1692,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.9801,C,0.5691,0.6167,0.9294,0.142330,0.5000,0.0000,278.90,0.000000,1.0000,0.8061,1.0,1.0,0.004599,0.005519,0.000986,16
AXSUSDT,1,-1,0.6142,1.0000,1.0000,1.388000,0.002000,0.003000,0.006000,0.010000,1.5000,3.0000,0.5634,0.8117,0.5929,0.5000,1.0000,0.9726,1.0000,0.8000,0.5446,0.3000,0.0686,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.9765,C,0.6290,0.6941,0.9503,0.117321,0.5000,0.0000,307.11,0.000000,1.0000,0.8331,0.0,-1.0,-0.002000,0.000720,0.002161,3
INITUSDT,1,-1,0.5816,1.0000,1.0000,0.074170,0.002582,0.010146,0.012146,0.013984,3.9292,4.7037,0.5241,0.8437,0.6357,0.6500,1.0000,0.6000,1.0000,0.7000,0.3473,0.8000,0.1412,0.0000,0.0000,0.0000,0.0000,1,0.0000,1.0252,C,0.5673,0.6213,0.8245,0.114935,0.5241,0.0000,225.22,0.000000,1.0000,0.8053,0.0,-1.0,-0.002582,0.007550,0.005258,12
