Started Kafka consumer, listening on topic: candles.close
Received candle close event: AZTECUSDT 5m at 1770948899999
Received candle close event: AZTECUSDT 15m at 1770948899999
Received candle close event: AXSUSDT 15m at 1770948899999
Received candle close event: RIVERUSDT 5m at 1770948899999
Received candle close event: AXSUSDT 5m at 1770948899999
Received candle close event: RIVERUSDT 15m at 1770948899999
Received candle close event: AXSUSDT 1m at 1770948899999
Received candle close event: RIVERUSDT 1m at 1770948899999
Received candle close event: PUMPUSDT 5m at 1770948899999
Received candle close event: POWERUSDT 5m at 1770948899999
Received candle close event: PUMPUSDT 15m at 1770948899999
Received candle close event: POWERUSDT 15m at 1770948899999
Received candle close event: PUMPUSDT 1m at 1770948899999
Received candle close event: POWERUSDT 1m at 1770948899999
Received candle close event: ZAMAUSDT 1m at 1770948899999
Received candle close event: ZAMAUSDT 15m at 1770948899999
Received candle close event: ZAMAUSDT 5m at 1770948899999
Received candle close event: ADAUSDT 5m at 1770948899999
Received candle close event: NEARUSDT 1m at 1770948899999
Received candle close event: KITEUSDT 5m at 1770948899999
Received candle close event: ADAUSDT 15m at 1770948899999
Received candle close event: FILUSDT 1m at 1770948899999
Received candle close event: KITEUSDT 15m at 1770948899999
Received candle close event: NEARUSDT 15m at 1770948899999
Received candle close event: ADAUSDT 1m at 1770948899999
Received candle close event: KITEUSDT 1m at 1770948899999
Received candle close event: NEARUSDT 5m at 1770948899999
Received candle close event: FILUSDT 15m at 1770948899999
Received candle close event: MOVEUSDT 15m at 1770948899999
Received candle close event: FILUSDT 5m at 1770948899999
Received candle close event: MOVEUSDT 5m at 1770948899999
Received candle close event: MOVEUSDT 1m at 1770948899999
Received candle close event: CLOUSDT 5m at 1770948899999
Received candle close event: TAKEUSDT 15m at 1770948899999
Received candle close event: CLOUSDT 1m at 1770948899999
Received candle close event: TAKEUSDT 1m at 1770948899999
Received candle close event: CLOUSDT 15m at 1770948899999
Received candle close event: TAKEUSDT 5m at 1770948899999
Received candle close event: FHEUSDT 1m at 1770948899999
Received candle close event: ARCUSDT 15m at 1770948899999
Received candle close event: ARCUSDT 5m at 1770948899999
Received candle close event: FHEUSDT 5m at 1770948899999
Received candle close event: FHEUSDT 15m at 1770948899999
Received candle close event: MYXUSDT 15m at 1770948899999
Received candle close event: ESPUSDT 1m at 1770948899999
Received candle close event: ARCUSDT 1m at 1770948899999
Received candle close event: MYXUSDT 5m at 1770948899999
Received candle close event: ESPUSDT 15m at 1770948899999
Received candle close event: MYXUSDT 1m at 1770948899999
Received candle close event: ESPUSDT 5m at 1770948899999
Received candle close event: TOSHIUSDT 5m at 1770948899999
Received candle close event: TOSHIUSDT 15m at 1770948899999
Received candle close event: TOSHIUSDT 1m at 1770948899999
Received candle close event: STGUSDT 15m at 1770948899999
Received candle close event: STGUSDT 1m at 1770948899999
Received candle close event: STGUSDT 5m at 1770948899999
Received candle close event: MEUSDT 1m at 1770948899999
Received candle close event: MEUSDT 15m at 1770948899999
Received candle close event: MEUSDT 5m at 1770948899999
Received candle close event: ENAUSDT 5m at 1770948899999
Received candle close event: ENAUSDT 15m at 1770948899999
Received candle close event: ENAUSDT 1m at 1770948899999
